;"L";"M";"S";"R";"LMS";"LM2S";"LMSR";"LmM"
"modRED";20;17,1784532729669;4,8125;6,32446337140647;3,125;4;20;20
"modGREEN";1,6875;13,785778799911;10,625;11,0160334801059;20;20;20;9,125
"modBLUE";0,0625;0,171550577540637;17,3125;0,325373131347156;5,75;9,6875;20;0,125
"modCYAN";0,625;6,33762784727442;20;14,6527337166414;14,1875;17,625;20;4,125
"phaseRED";0;180;180;0;180;180;0;0
"phaseGREEN";180;0;0;180;0;0;0;180
"phaseBLUE";180;0;0;180;0;0;0;180
"phaseCYAN";0;180;180;0;180;180;0;0
"K";0,2495;0,2;0,8275;0,273;0,5328;NA;1;0,2408
"lty";1;1;1;1;2;2;3;4
